input_lang,output_lang,correctly_annotated
Which river does the Brooklyn Bridge cross?,¿Por qué río cruza la Brooklyn Bridge?,1
Give me the websites of companies with more than 500000 employees.,Dame todas las páginas de Web de empresas con más de 500000 empleados.,1
What is the official website of Tom Cruise?,¿Cuál el la página de Web oficial de Tom Cruise?,1
Give me all movies with Tom Cruise.,Dame todas las películas con Tom Cruise,1
Who created Wikipedia?,¿Quién creó Wikipedia?,1
How many films did Hal Roach produce?,¿Cuántas películas ha producido Hal Roach?,1
In which country does the Nile start?,¿En qué país nace el Nilo?,1
Which states of Germany are governed by the Social Democratic Party?,¿En qué estados federales de Alemania gobierna la SPD?,0
How tall is Claudia Schiffer?,¿Cómo de alta es Claudia Schiffer?,1
Which television shows were created by Walt Disney?,¿Qué series televisivas ideó Walt Disney?,1
What is the highest place of Karakoram?,¿Cuál es el punto más alto del Karakorum?,0
Give me all cities in New Jersey with more than 100000 inhabitants.,Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,1
Which actors were born in Germany?,¿Qué actores nacieron en Alemania?,1
Give me all people with first name Jimmy.,Dame todas las personas con el nombre propio Jimmy.,0
Which mountain is the highest after the Annapurna?,¿Cuál es la montaña más alta después del Annapurna?,0
How often was Michael Jordan divorced?,¿Cuántas veces se ha divorciado Michael Jordan?,1
Who designed the Brooklyn Bridge?,¿Quién diseñó la Brooklyn Bridge?,1
Which classis do tree frogs belong to?,¿A qué especie pertenece la rana verde?,0
Was Natalie Portman born in the United States?,¿Nació Natalie Portman en los estados unidos de américa?,0
Which countries have more than two official languages?,¿Qué países tienes más de dos lenguas oficiales?,1
When did Latvia join the EU?,¿Cuándo ingresó Letonia a la unión europea?,1
Who created Goofy?,¿Quién es el creador de Goofy?,1
Give me all soccer clubs in Spain.,Dame todos los club de fútbol de España.,1
Who is the mayor of New York City?,¿Quién es el alcalde de la cuidad de Nueva York?,1
Which organizations were founded in 1950?,¿Qué empresas fueron fundadas en 1950?,1
Which presidents were born in 1945?,¿Qué presidentes nacieron en 1945?,1
Through which countries does the Yenisei river flow?,¿Por qué países fluye el río Yenisei?,1
Which museum exhibits The Scream by Munch?,¿En qué museo está expuesto el Grito de Munch?,0
Which budget did the first movie of Zdenek Sverak have?,¿Cuál fué el presupuesto de la primera película de Zdenek Sverak?,0
Give me the capitals of all countries in Africa.,Dame las capitales de todos los países africanos.,0
Which states border Illinois?,¿Qué estados tienen frontera con Illinois?,1
Which countries have places with more than two caves?,¿Qué países tienen lugares con más de dos cuevas?,1
Which European countries have a constitutional monarchy?,¿Qué países europeos tienen una monarquía constitucional?,1
What is the highest mountain in Australia?,¿Cuál es la montaña más alta de Australia?,0
Which capitals in Europe were host cities of the summer olympic games?,¿En qué capitales europeas tuvieron lugar los juegos olímpicos de verano?,0
Who was the wife of U.S. president Lincoln?,¿Quién fué la mujer del presidente americano Lincoln?,1
"Which airports are located in California, USA?",¿Cuántos aeropuertos hay en California?,0
Is Christian Bale starring in Batman Begins?,¿Actúa Christian Bale en Batman Begins?,1
In which programming language is GIMP written?,¿En qué lenguaje de programación esta programado GIMP?,0
In which country is the Limerick Lake?,¿En qué país se encuentra el lago Limerick?,0
Which monarchs of the United Kingdom were married to a German?,¿Qué monárcas del reino unido estaban casados con una persona alemana?,0
Give me all female German chancellors.,Dame todas las cancilleres alemanas.,0
Give me all video games published by Mean Hamster Software.,Dame todos los videojuegos de Mean Hamster Software.,1
Who produced films starring Natalie Portman?,¿Quién ha producido películas en las que actua Natalie Portman?,1
In which films did Julia Roberts as well as Richard Gere play?,¿En qué películas actúan Julia Roberts y Richard Gere?,1
How many films did Leonardo DiCaprio star in?,¿En cuántas películas ha actuado Leonardo DiCaprio?,1
Give me all school types.,Dame todos los tipos de escuela.,1
Give me the birthdays of all actors of the television show Charmed.,Dame los cumpleaños de los actores de la serie de televisión Charmed.,1
In which city did John F. Kennedy die?,¿En qué ciudad murió John F. Kennedy?,0
How many monarchical countries are there in Europe?,¿Cuántas monarquías existen en Europa?,1
Give me all presidents of the United States.,Dame todos los presidentes de los estados unidos de américa.,0
Who produced the most films?,¿Quién ha producido más películas?,1
Which languages are spoken in Estonia?,¿Qué idiomas se hablan en Estonia?,1
Is there a video game called Battle Chess?,¿Hay algún videojuego que se llame Battle Chess?,0
Which mountains are higher than the Nanga Parbat?,¿Qué montañas son más altas que el Nanga Parbat?,1
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,0
Is Jens Friebe a vegan?,¿Es Jens Friebe vegano?,0
Which telecommunications organizations are located in Belgium?,¿Qué empresas de telecomunicaciones tienen su sede en Bélgica?,0
Which companies work in the aerospace industry as well as on nuclear reactor technology?,¿Qué empresas aerospaciales trabajar también en en tecnología de reactores?,0
Which state of the USA has the highest population density?,¿Que estado de los estados unidos de america tiene la mayor densidad de población?,0
Is the wife of president Obama called Michelle?,¿La mujer del presidente Obama se llama Michelle?,1
What is the highest mountain?,¿Cuál es la montaña más alta?,0
Give me all Canadian Grunge record labels.,Dame todos las empresas canadienses productoras de música Grunge.,0
What is the currency of the Czech Republic?,¿Cuál es la moneda de la república checa?,0
Give me all books written by Danielle Steel.,Dame todos los libros escritos por Danielle Steel.,1
In which films directed by Garry Marshall was Julia Roberts starring?,¿En qué películas dirigidas por Garry Mashall actuó Julia Roberts?,1
Who developed the video game World of Warcraft?,¿Quién desarrolló el videojuego Warcraft?,0
Who owns Aldi?,¿A quién pertenece Aldi?,1
How many employees does IBM have?,¿Cuántos empleados tiene IBM?,1
What is the area code of Berlin?,¿Cuál es el prefijo de Berlin?,0
When was the Battle of Gettysburg?,¿Cuándo tuvo lugar la batalla de Gettysburg?,0
What are the official languages of the Philippines?,¿Cuáles son los idiomas oficiales de Las Philipinas?,0
Is Frank Herbert still alive?,¿Todavía vive Frank Herbert?,1
How many big fires struck Paris during the Middle Ages?,¿Cuántos grandes incendios se produjeron en el Paris medieval?,0
Who wrote the book Les Piliers de la terre?,¿Quen escribió el libro Los pilares de la Tierra?,0
Give me the homepage of Forbes.,Dame la página de web de Forbes.,1
Is proinsulin a protein?,¿La proinsulina es una proteina?,1
Which awards did WikiLeaks win?,¿Qué premios ha ganado WikiLeaks?,1
List all episodes of the first season of the HBO television series The Sopranos!,Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.,1
Which country has the most official languages?,¿Qué país tiene más idiomas oficiales?,1
Which U.S. states possess gold minerals?,¿En qué estados de los estados unidos de américa hay oro?,0
What is the most beautiful painting?,¿Cuál es la pintur más bonita?,1
Who is the daughter of Ingrid Bergman married to?,¿Con quién está casada la hija de Ingrid Bergman?,1
Is Egypts largest city also its capital?,¿Es la cuidad más grande de Egipto también capital?,0
Which caves have more than 3 entrances?,¿Qué cuevas tienen más de 3 entradas?,1
Give me all films produced by Hal Roach.,Dame todas las películas del producente Hal Roach.,1
Which bridges are of the same type as the Manhattan Bridge?,¿Qué puentes son del mismo tipo que el puente de Manhattan?,1
Was U.S. president Jackson involved in a war?,¿Estuvo el el presidente de los estados unidos Jackson involucrado en una guerra?,0
Which software has been developed by organizations founded in California?,¿Qué productos de software han sido desarrollados por empresas fundadas en California?,1
Who has been the 5th president of the United States of America?,¿Quién fue el quinto presidente de los estados unidos de américa?,0
Which music albums contain the song Last Christmas?,¿Qué albums musicales contienen la canción Las Christmas?,0
Give me all female Russian astronauts.,Dame todas las astronautas rusas.,0
Give me all actors starring in Last Action Hero.,Dame todos los actores que hayan actuado en Last Action Hero.,1
Give me all companies in the advertising industry.,Dame todas las empresas publicitarias.,1
Give me all animal species that live in the Teutoburg Forest.,Dame todas las especies animales qué vivan en el Bosque Teutónico.,0
Which countries in the European Union adopted the Euro?,¿Qué países de la unión europea han introducido el Euro?,0
When was Capcom founded?,¿Cúando se fundó Capcom?,1
Give me all soccer clubs in the Premier League.,Dame todos los clubs de la Premier League.,0
Who is the owner of Universal Studios?,¿A quién le pertenecen los Universal Studios?,1
What did Bruce Carver die from?,¿De qué murió Bruce Carver?,1
How often did Jane Fonda marry?,¿Cuántas veces ha estado casada Jane Fonda?,1
Which books by Kerouac were published by Viking Press?,¿Qué libros de Kerouac han sido publicados por Viking Press?,0
Which U.S. state has the highest population density?,¿Que estado de los estados unidos de america tiene la mayor densidad de población?,0
What is the founding year of the brewery that produces Pilsner Urquell?,¿En qué año fue fundada la cervecería que produce Pilsner Urquell?,1
Give me all federal chancellors of Germany.,Dame todos los cancilleres alemanos.,0
In which U.S. state is Mount McKinley located?,¿En qué estado de los estados unidos se encuentra el monte McKinley?,0
When was the Statue of Liberty built?,¿Cuándo fue construída la estatua de la libertad?,0
Give me all people that were born in Vienna and died in Berlin.,Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,1
How tall is Michael Jordan?,¿Qué altura tiene Michael Jordan?,1
What is the total amount of men and women serving in the FDNY?,¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,0
Give me all breeds of the German Shepherd dog.,Dame todas las razas de pastor alemán.,0
What is the official language of Suriname?,¿Cuál es la idioma oficial de Surinam?,0
Who composed the music for Harold and Maude?,¿Quién compuso la música para Harold y Maude?,0
In which city was the former Dutch queen Juliana buried?,¿En qué ciudad fué enterrada la antigua reina de los países bajos Juliana?,0
Who wrote the book The Pillars of the Earth?,¿Quen escribió el libro Los pilares de la Tierra?,0
What are the nicknames of San Francisco?,¿Cuál es el apodo de San Francisco?,1
Which companies work in the aerospace industry as well as in medicine?,¿Qué empresas aerospaciales trabajar también en en medicina?,0
Are tree frogs a type of amphibian?,¿Son las ranas verdes un tipo de anfibio?,0
What were the main discoveries of the Mars rover Curiosity?,¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?,1
Where is the residence of the prime minister of Spain?,¿Dónde vive el primer ministor de España?,1
Which countries have more than ten caves?,¿Qué países tienen más de diez cuevas?,1
Give me all sister cities of Brno.,Dame las ciudades hermanadas con Brno.,1
Which other weapons did the designer of the Uzi develop?,¿Qué otras armas desarrolló el inventor del Uzi?,1
Which countries adopted the Euro?,¿Qué países han introducido el Euro?,0
Which country does the creator of Miffy come from?,¿De qué país viene el creador de Nijntje?,0
Give me all female given names.,Dame todos los nombres propios femeninos.,1
Was Margaret Thatcher a chemist?,¿Fue Margaret Thatcher química?,0
Which German cities have more than 250000 inhabitants?,¿Qué ciudades alemanas tienen más de 250000 habitantes?,0
Was Marc Chagall a jew?,¿Fué Marc Chagall judío?,0
How many Aldi stores are there?,¿Cuántas tiendas Aldi hay?,1
What is the capital of Canada?,¿Cuál es la capital de Canadá?,1
What is the average temperature on Hawaii?,¿Cuál es la temperature media en Hawaii?,1
In which U.S. state is Fort Knox located?,¿En qué estado american se encuentra Fort Knox?,0
For which label did Elvis record his first album?,¿Qué discográfica grabó el primer album de Elvis?,0
Do Prince Harry and Prince William have the same mother?,¿Tienen el príncipe Harry y el prínciple William la misma madre?,0
In which military conflicts did Lawrence of Arabia participate?,¿En qué conflictos militares participó Lawrence de Arabia?,0
Who invented the zipper?,¿Quién inventó la cremallera?,1
Which U.S. states are in the same time zone as Utah?,¿Qué estados americanos se encuentran en la misma zona que Utah?,0
Give me all islands that belong to Japan.,Dame todas la islas que pertenezcan a Japón.,1
Who was the first president of the United States?,¿Quién era el primer presidente de los Estados Unidos?,1
Who developed Minecraft?,¿Quién desarrolló Minecraft?,1
Which Chess players died in the same place they were born in?,¿Qué jugadores de ajedrez murieron en sus lugares de nacimiento?,0
How many space missions have there been?,¿Cuántas misiones espaciales ha habido?,1
Give me all cars that are produced in Germany.,Dame todos los coches producidos en Alemania.,1
How many children did Benjamin Franklin have?,¿Cuántos hijos tuvo Benjamin Franklin?,1
Is Michelle Obama the wife of Barack Obama?,¿Es Michele Obama la esposa de Barack Obama?,1
Give me all actors starring in movies directed by William Shatner.,Dame todos los actores de películas dirigidas por William Shatner.,1
List the children of Margaret Thatcher.,Dame una lista de los hijos de Margaret Thatcher.,1
Which professional surfers were born in Australia?,¿Qué surfistas profesionales nacieron en Australia?,1
Who is the editor of Forbes?,¿Quién es el editor de Forbes?,1
Who is the youngest player in the Premier League?,¿Quién es el jugador más jóven de la Premier League?,1
What is the second highest mountain on Earth?,¿Cuál es la segunda montaña más alta de la tierra?,0
Give me all books by William Goldman with more than 300 pages.,Dame todos los libros de Wiliam Goldman con más de 300 páginas.,1
Give me all Danish films.,Dame todas las películas danesas.,0
What is the largest city in Australia?,¿Cuál es la cuidad más grande de Australia?,0
Who painted The Storm on the Sea of Galilee?,¿Quién pintó el Cristo en la tormenta en el lago de Galilea?,0
Give me all launch pads operated by NASA.,Dame todas las plataformas de lanzamiento operadas por la NASA.,1
Who wrote the lyrics for the Polish national anthem?,¿Quién escribió el texto del himno de Polonia?,0
Who created the comic Captain America?,¿Quién creó el comic Capitán América?,1
Who was the father of Queen Elizabeth II?,¿Quién fue el padre de la reina Isabel II?,0
Which U.S. state has the abbreviation MN?,¿Qué estado americano tiene la abreviación MN?,0
Which movies did Kurosawa direct after Rashomon?,¿Qué películas ha rodado Kurosawa después de Rashomon?,0
List all episodes of the first season of the HBO television series The Sopranos.,Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.,1
Give me a list of all American inventions.,Dame una lista de todos los inventos americanos.,0
Which films starring Clint Eastwood did he direct himself?,¿En qué películas con Clint Eastwood están dirigidas por él mismo?,1
Who are the parents of the wife of Juan Carlos I?,¿Quién son los padres de la esposa de Juan Carlos I?,1
What is the birth name of Angela Merkel?,¿Cuál es el nombre de soltera de Angela Merkel?,1
In which UK city are the headquarters of the MI6?,¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?,0
What is the longest river?,¿Cuál es el río más largo?,1
Did Socrates influence Aristotle?,¿Tuvo Sócrates influencia sobre Aristóteles?,1
Who was called Scarface?,¿Quién era llamado Scarface?,1
Is Christian Bale starring in Velvet Goldmine?,¿Actúa Christian Bale en Velvet Goldmine?,1
What is the time zone of Salt Lake City?,¿En qué zona horaria se encuentra Salt Lake City?,0
List all games by GMT.,Dame todos los juegos de GMT.,1
Which organizations were founded in 1930?,¿Qué empresas fueron fundadas en 1930?,1
To which countries does the Himalayan mountain system extend?,¿Por qué países se extiende el Himalaya?,0
When was Alberta admitted as province?,¿Cúando fué fundada la provincia de Alberta?,1
Which countries are connected by the Rhine?,¿Qué países une el Rhin?,1
Give me all cosmonauts.,Dame todas las cosmonautas.,1
Who is the mayor of Tel Aviv?,¿Quién es el alcalde de Tel Aviv?,0
Which ships were called after Benjamin Franklin?,¿Qué barcos fueron bautizados en honor a Benjamin Franklin?,1
Who is the husband of Amanda Palmer?,¿Quién es el marido de Amanda Palmer?,1
How many employees does Google have?,¿Cuántos empleados tiene Google?,1
Does Breaking Bad have more episodes than Game of Thrones?,¿Tiene Breaking Bad más episodios que Game of Thrones?,0
Give me a list of all bandleaders that play trumpet.,Dame una lista de todos los líderes de un grupo que tocan la trompeta.,1
When did Michael Jackson die?,¿Cuándo murió Michael Jackson?,1
How many languages are spoken in Turkmenistan?,¿Cuántos idiomas se hablan en Turkmenistán?,1
How many inhabitants does Maribor have?,¿Cuántos habitantes tiene Maribor?,1
Give me a list of all lakes in Denmark.,Dame una lista de todos los lagos en Dinamarca.,1
Which Greek goddesses dwelt on Mount Olympus?,¿Qué diosas griegas habitan el Olimpo?,0
How high is the Mount Everest?,¿Qué alto es el Monte Everest?,1
Give me all communist countries.,Dame todos los países comunistas.,0
Which instruments does Cat Stevens play?,¿Qué instrumentos tocaba Cat Stevens?,1
Sean Parnell is the governor of which U.S. state?,¿De qué estado americano es Sean Parnell el gobernador?,0
Did Tesla win a nobel prize in physics?,¿Obtuvo Tesla el premio nobel de física?,0
Who is the governor of Wyoming?,¿Quién es el gobernador de Wyoming?,1
When were the Hells Angels founded?,¿Cúando se fundaron los Hells Angels?,1
Give me all libraries established earlier than 1400.,Dame todas las bibliotecas que fueron establecidas antes de 1400.,0
How many countries are there in Europe?,¿Cuántos países existen en Europa?,1
Who is the mayor of Berlin?,¿Quién es el alcalde de Berlin?,0
How many people live in the capital of Australia?,¿Cuánta gente vive en la capital de Australia?,1
Who founded Intel?,¿Quién fundó Intel?,1
Give me all B-sides of the Ramones.,Dame todas las caras B de los Ramones.,0
Give me all Apollo 14 astronauts.,Dame todos los astronautas de Apolo 14?,1
Give me all world heritage sites designated within the past two years.,¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?,0
Which cities does the Weser flow through?,¿Por qué ciudades pasa el río Weser?,1
Give me all movies directed by Francis Ford Coppola.,Dame todas las películas que haya dirigido Francis Ford Coppola.,1
What is the ruling party in Lisbon?,¿Qué partido gobierna en Lisboa?,1
Who produces Orangina?,¿Quién produce Orangina?,1
Give me all companies in Munich.,Dame todas las empresas de Munich?,1
What is the melting point of copper?,¿Cúal es el punto de fusión del cobre?,1
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,¿Fué la crisis de cuba antes de la invasión de bahía de cochinos?,0
Who was John F. Kennedy's vice president?,¿Quién fué el vicepresidente de John F. Kennedy?,0
Who is the Formula 1 race driver with the most races?,¿Quién es el conductor de Formula 1 con más carreras?,1
Which U.S. state has been admitted latest?,¿Qué estado americano fué el último en ser admitido?,0
Give me all Methodist politicians.,Dame todos los políticos que sean metodístas.,0
What is the highest place of the Urals?,¿Cuál es el punto más alto del montes Urales?,1
Which monarchs were married to a German?,¿Qué monárcas estaban casados con una persona alemana?,0
Show me all songs from Bruce Springsteen released between 1980 and 1990.,¿Enseñame todas las canciones de Bruce Springsteen que aparecieron entre 1980 y 1990.,1
Give me all professional skateboarders from Sweden.,Dame todos las skateboarders profesionales de Suecia.,1
Give me all members of Prodigy.,Dame todos los miembros de la banda Prodigy.,0
How many students does the Free University in Amsterdam have?,¿Cuántos estudiantes tiene la Universidad Libre de Amsterdam?,0
Give me all Australian nonprofit organizations.,Dame todas las organizaciones benéficas de Australia.,0
In which country does the Ganges start?,¿En qué país nace el Ganges?,0
Do Prince Harry and Prince William have the same parents?,¿Tienen el príncipe Harry y el prínciple William la misma madre?,0
How many missions does the Soyuz programme have?,¿Cuántas misiones tiene el programa Soyuz?,0
Give me all Danish movies.,Dame todas las películas danesas.,0
Is Rita Wilson the wife of Tom Hanks?,¿Es Rita Wilson la esposa de Tom Hanks?,1
Who was called Frank The Tank?,¿Quién era llamado Frank The Tank?,0
Which movies did Kurosawa direct?,¿Qué películas ha rodado Kurosawa?,0
Which television shows were created by John Cleese?,¿Qué series televisivas ideó John Cleese?,1
Which awards did Douglas Hofstadter win?,¿Qué premios ha ganado Douglas Hofstadter?,1
Who is the daughter of Robert Kennedy married to?,¿Con quién está casada la hija de Robert Kennedy?,1
Who is the owner of Rolls-Royce?,¿Quién es el dueño de Rolls-Royce?,1
Was the wife of president Lincoln called Mary?,¿La mujer del presidente Lincoln se llama Mary?,1
Who was the 16th president of the United States?,¿Quién fue el 16th presidente de los Estados Unidos?,1
Is Pamela Anderson a vegan?,¿Es Pamela Anderson vegana?,1
Give me all animal species that live in the Amazon rainforest.,Dame todas las especies animales qué viven en Amazonía.,0
How many inhabitants does the largest city in Canada have?,¿Cuántos habitantes tiene la ciudad más grande de Canadá?,0
In which studio did the Beatles record their first album?,¿En qué estudio grabaron los Beatles su primer album?,1
Who was the first to climb Mount Everest?,¿Quién fue el primero en ascender al Monte Everest?,1
How many programming languages are there?,¿Cuántos lenguajes de programación existen?,0
What is the official color of the University of Oxford?,¿Cuál es el color oficial de la Universidad de Oxford?,0
How many gold medals did Michael Phelps win at the 2008 Olympics?,¿Cuántas medallas de oro ganó Michael Phelps durante los juegos olímpicos de 2008?,0
To which artistic movement did the painter of The Three Dancers belong?,¿A qué estilo artístico pertenece el pinto de Los Tres Bailarines?,0
Give me all animals that are extinct.,Dame todos los animales extintos,0
Does Abraham Lincoln's death place have a website?,¿Tiene el lugar de nacimiento de Abraham Lincol una página web?,0
How deep is Lake Placid?,Cómo de hondo es el Lago Placid?,1
Give me the grandchildren of Bruce Lee.,Dame todos los nietos de Bruce Lee.,1
Who is the youngest Darts player?,¿Quién es el jugador mas jóven de dardos?,0
Where was Bach born?,¿Dónde nació Bach?,0
In which countries can you pay using the West African CFA franc?,¿En qué páises se paga con el Franco CFA?,0
What are the top-10 action role-playing video games according to IGN?,¿Cuáles son los 10 mejores videojuegos de rol de acción según la IGN?,0
What is the most frequent cause of death?,¿Cual es la causa mortal más común?,1
Does the Isar flow into a lake?,¿Desemboca el Isar en un lago?,1
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,Dame todas las películas producidas por Steven Spielberg con un presupuesto de al menos 80 milliones de dólares.,1
Give me all writers that won the Nobel Prize in literature.,Dame todos los escritores que hayan recibido el premio nobel de literatura.,0
Give me all taikonauts.,Dame todas las taikonautas.,1
