input_lang,output_lang,correctly_annotated
How many pages does War and Peace have?,¿Cuántas páginas tiene Guerra y Paz?,0
What is the bridge with the longest span?,¿Qué puente tiene el mayor largo del vano?,0
Give me all actors called Baldwin.,Dame todos los actores llamados Baldwin.,1
Who is the tallest player of the Atlanta Falcons?,¿Quién es el jugador más alto de los Atlanta Falcons?,1
Which rivers flow into a German lake?,¿Qué ríos desembocan en un lago alemán?,0
How many James Bond movies are there?,¿Cuántas películas de James Bond existen?,1
Which rockets were launched from Baikonur?,¿Qué cohetes han sido lanzados desde Baionur?,1
Which pope succeeded John Paul II?,¿Qué papa fue el sucesor de Juan Pablo II?,0
Give me all Dutch parties.,Dame todos los partidos políticos holandeses,0
When is Halloween?,¿Cuándo es Halloween?,1
Give me all Swedish oceanographers.,Dame todos los oceanógrafos suecos.,0
Give me all actors who were born in Berlin.,Dame todos los actores nacidos en Berlin.,1
What was the last movie with Alec Guinness?,¿Cuál fue la última película con Alec Guinness?,0
Which poet wrote the most books?,¿Que poeta ha escrito el mayor número de libros?,0
How many languages are spoken in Colombia?,¿Cuántos idiomas se hablan en Colombia?,1
What does IYCM stand for?,¿Qué abrevia IYCM?,0
What was Brazil's lowest rank in the FIFA World Ranking?,¿Cuál ha sido la posición de ranking más baja de Brasil en el ranking mundial de la FIFA?,1
Give me the capitals of all countries that the Himalayas run through.,Dame las capitales de todos los países que atraviesa el Himalaya.,1
Which actor played Chewbacca?,¿Qué actor hizo el papel de Chewbacca?,1
Which ingredients do I need for carrot cake?,¿Qué ingredientes son necesarios para una tarta de zanahorias?,0
Is Cola a beverage?,¿La Coca Cola es una bebida?,0
Who has Tom Cruise been married to?,¿Quién ha estado casado con Tom Cruise?,1
Which of Tim Burton's films had the highest budget?,¿Cuál es la película de Tim Burton con el mayor presupuesto?,1
How heavy is Jupiter's lightest moon?,¿Cuánto pesa el satélite más ligero de Júpiter?,1
Which actor was casted in the most movies?,¿Qué actor ha actuado en el mayor número de películas?,1
Is James Bond married?,¿Está James Bond casado?,1
Give me all Australian metalcore bands.,Dame todos los grupos australianos de metalcore.,0
Give me all actors who were born in Paris after 1950.,Dame todos los actores nacidos en Paris después de 1950.,1
When was Carlo Giuliani shot?,¿Cuándo fue disparado Carlo Giuliani?,1
Who are the four youngest MVP basketball players?,¿Cuáles son los cuatro jugadores de baloncesto de categoría MVP más jóvenes?,1
Which companies have more than 1 million employees?,¿Qué empresas tienen mas de 1 millón de empleados?,1
Give all swimmers that were born in Moscow.,Dame todos los nadadores nacidos en Moscú,1
Who was called Rodzilla?,¿Quien se llamaba Rodzilla?,0
Show me the book that Muhammad Ali wrote.,Muéstrame el libro escrito por Muhammad Ali.,1
How many museums does Paris have?,¿Cuantos museos hay en Paris?,1
Which city has the most inhabitants?,¿Que ciudad tiene la mayor población?,0
Which city has the least inhabitants?,¿Que ciudad tiene la menor población?,0
Give me all the TV shows with Neil Patrick Harris.,Dame todos los programas de televisión con Neil Patrick Harris.,0
Who wrote The Hunger Games?,¿Quien escribió Los juegos del hambre?,1
Show a list of soccer clubs that play in the Bundesliga.,Dame una lista de los clubs de futbol que juegan en Bundesliga.,1
What country is Mount Everest in?,¿En que país esta el monte Everest?,1
Who is the founder of Penguin Books?,¿Quien es el fundador de Penguin Books?,1
Which programming languages influenced Javascript?,¿Que lenguajes de programación influenciaron el Javascript?,1
Did Che Guevara have children?,¿Tuvo hijos el Che Guevara?,1
List all the musicals with music by Elton John.,Dame todos los musicales con música de Elton John.,1
Show me all the breweries in Australia.,Muéstrame todas las cervecerías en Australia.,1
When was the Titanic completed?,¿Cuando se completo el Titanic?,0
How much did Pulp Fiction cost?,¿Cuanto costo Pulp Fiction?,1
How many airlines are there?,¿Cuantas líneas aéreas existen?,1
Who played Agent Smith in Matrix?,¿Quien actuó como el agente Smith en Matrix?,0
How much carbs does peanut butter have?,¿Cuantos hidrates de carbono tienen la manteca de cacahuete?,0
Which book has the most pages?,¿Que libro tiene el mayor numero de paginas?,0
Which bridges cross the Seine?,¿Cuantos puentes cruzan el Siena?,0
Who is the mayor of the capital of French Polynesia?,¿Quien es el alcalde de la capital de la Polinesia Francesa?,0
When did Dracula's creator die?,¿Cuando murió el creador de Drácula?,1
What is the location of the Houses of Parliament?,¿Donde están situadas las Casas del Parlamento?,0
Show me all English Gothic buildings in Kent.,Muéstrame todos los edificios góticos en Kent.,0
Who was the pope that founded the Vatican Television?,¿Quien fue el papa que fundo la televisión Vaticana?,0
What airlines are part of the SkyTeam alliance?,¿Qué aerolíneas forman parte del la alianza SkyTeam?,1
"What is the total population of Melbourne, Florida?","¿Cuál es la población total de Melbourne, Florida?",1
Which airports does Air China serve?,¿Qué aeropuertos sirve Air China?,1
In which year was Rachel Stevens born?,¿En que año nació Rachel Stevens?,1
Where was JFK assassinated?,¿Dónde fue JFK asesinado?,1
How many politicians graduated from Columbia University?,¿Cuántos políticos se han graduado en la universidad de Columbia?,1
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,¿Qué científicos son conocidos por el proyecto Manhattan y el premio Nobel de la Paz?,1
What is the highest volcano in Africa?,¿Cuál es el volcán mas alto en África?,1
Which beer originated in Ireland?,¿Qué cerveza se ha originado en Irlanda?,0
What are the specialities of the UNC Health Care?,¿Cuáles son las especialidades del UNC Health Care?,1
Who is the owner of Facebook?,¿Quién es el dueño de Facebook?,1
From which region is the Melon de Bourgogne?,¿De que región es el vino Melon de Bourgogne?,1
Who was influenced by Socrates?,¿Quién fue influenciado por Socrates?,1
Who was president of Pakistan in 1978?,¿Quién fue el presidente de Pakistán en 1978?,1
Give me English actors starring in Lovesick.,Dame actores Ingleses protagonizando Lovesick.,1
Give me all types of eating disorders.,¿Que tipos hay de trastornos de la alimentación?,0
Who was married to president Chirac?,¿Quién estuvo casado con el presidente Chirac?,0
What is the largest metropolitan area in Washington state?,¿Cuál es el área metropolitana mas larga en el estado de Washington?,1
Where in France is sparkling wine produced?,¿Dónde en Francia se produce el vino espumoso?,1
Where did Hillel Slovak die?,¿Dónde murió Hillel Slovak?,1
What is the timezone in San Pedro de Atacama?,¿Cuál es la zona horaria en San Pedro de Atacama?,1
In which city does the Chile Route 68 end?,¿En que ciudad termina la ruta Chilena 68?,0
Butch Otter is the governor of which U.S. state?,¿De qué estado americano es Butch Otter el gobernador?,0
How tall is Amazon Eve?,¿Cómo de alta es Amazon Eve?,1
Which weapons did Heckler & Koch develop?,¿Qué armas crearon Heckler y Koch?,0
Where is Fort Knox located?,¿Donde se encuentra el Fort Knox?,1
Who created Batman?,¿Quién creó Batman?,1
Which politicians were married to a German?,¿Qué monárcas estaban casados con una persona alemana?,0
When was Jack Wolfskin founded?,¿Cúando se fundó Jack Wolfskin?,0
How deep is Lake Chiemsee?,Cómo de hondo es el Chiemsee?,0
Give me the grandchildren of Elvis Presley.,Dame todos los nietos de Elvis Presley.,1
What does ICRO stand for?,¿Qué abrevia ICRO?,0
When was Olof Palme shot?,¿Cuándo fue disparado Olof Palme?,1
List all the musicals with music by Leonard Bernstein.,Dame todos los musicales con música de Leonard Bernstein.,1
Which airports does Yeti Airlines serve?,¿Qué aeropuertos sirve Yeti Airlines?,1
Give me all ESA astronauts.,Dame todos los astronautas de la ESA.,1
Give me all Swedish holidays.,Dame todos los días festivos en Suecia.,1
Who is the youngest Pulitzer Prize winner?,¿Quien es el premio Pilitzer mas joven?,1
Which animals are critically endangered?,¿Que animales están en peligro de extinción?,0
Which soccer players were born on Malta?,¿Que jugadores de futbol han nacido en Malta?,1
Did Arnold Schwarzenegger attend a university?,¿Fue Arnold Schwarzenegger a la universidad?,1
Which programming languages were influenced by Perl?,¿Qué lenguajes de programación fueron influenciados por el Perl?,1
Is Barack Obama a democrat?,¿Es Barack Obama demócrata?,0
How many children does Eddie Murphy have?,¿Cuántos hijos tiene Eddie Murphy?,1
Who is the oldest child of Meryl Streep?,¿Cuál es el hijo mas mayor de Meryl Streep?,1
Who killed John Lennon?,¿Quién asesino a John Lennon?,1
Which frequent flyer program has the most airlines?,¿Qué programa de viajero frecuente tienen la mayoría de las aerolineas?,0
In which city is Air China headquartered?,¿En que ciudad esta la sede de Air China?,0
Which artists were born on the same date as Rachel Stevens?,¿Qué artistas nacieron en la misma fecha que Rachel Stevens?,1
How many scientists graduated from an Ivy League university?,¿Cuántos científicos se han graduado en un Universidad de la Ivy League?,1
Which types of grapes grow in Oregon?,¿Que tipo de uva crece en Oregon?,1
Who is starring in Spanish movies produced by Benicio del Toro?,¿Quien protagoniza peliculas españolas producidas por Benicio del Toro?,0
Who is the manager of Real Madrid?,¿Quien es el manager de Real Madrid?,1
Give me the currency of China.,¿Cual es la moneda de China?,0
Which movies starring Mickey Rourke were directed by Guy Ritchie?,¿Que peliculas protagonizadas por Mickey Rourke han sido dirigidas por Guy Ritchie?,1
Is Darth Vader Luke’s father?,¿Es Darth Vader el padre de Luke?,1
How many companies were founded by the founder of Facebook?,¿Cuantas compañías han sido fundadas por el fundador de Facebook?,1
How many companies were founded in the same year as Google?,¿Cuántas compañías fueron fundadas en el mismo año que Google?,1
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,¿Qué subsidiario de TUI Travel vuela en Glasgow y en Dublin?,1
How many airlines are members of the Star Alliance?,¿Cuántas compañías son miembros del la Star Alliance?,1
Give me all spacecrafts that flew to Mars.,Dame todas las naves espaciales que han volado a Marte,1
Which musician wrote the most books?,¿Qué músico ha escrito el mayor numero de libros?,1
Show me everyone who was born on Halloween.,Muestrame todas las personas nacidas en Halloween,1
Give me all Swiss non-profit organizations.,Dame todas las organizaciones Suizas sin animo de lucro,1
In which country is Mecca located?,¿En que país se sitúa la Meca?,1
What is the net income of Apple?,¿Cual es la ganancia en neto de Apple?,0
What does the abbreviation FIFA stand for?,¿Qué significa la abreviación FIFA?,1
When did the Ming dynasty dissolve?,¿Cuándo se disolvió la dinastía de Ming?,0
Which museum in New York has the most visitors?,¿Qué museo en Nueva York tiene el mayor numero de visitantes?,0
Is Lake Baikal bigger than the Great Bear Lake?,¿Es el lago Baikal mayor que el lago Great Bear?,0
Desserts from which country contain fish?,¿Los postres de que país contienen pescado?,0
What is the highest mountain in Italy?,¿Cuál es la montaña mas alta en Italia?,0
Where did the architect of the Eiffel Tower study?,¿Dónde estudio el arquitecto de la torre Eiffel?,1
Which Greek parties are pro-European?,¿Qué partidos Griegos están a favor de Europa?,0
What is the height difference between Mount Everest and K2?,¿Cuál es la diferencia de altura entra el Monte Everest y K2?,1
Who is the mayor of Rotterdam?,¿Quién es el alcalde de Rotterdam?,0
In which city were the parents of Che Guevara born?,¿En que ciudad nacieron los padres de Che Guevara?,0
How high is the lighthouse in Colombo?,¿Cómo de alta el faro de Colombo?,0
Are Taiko a kind of Japanese musical instruments?,¿Es el Taiko un tipo de instrumento musical?,0
How many ethnic groups live in Slovenia?,¿Cuántos grupos étnicos viven en Eslovenia?,1
List the seven kings of Rome.,Lista los siete reyes de Roma.,1
Who were the parents of Queen Victoria?,¿Quiénes fueron los padres de la reina Victoria?,0
Who is the heaviest player of the Chicago Bulls?,¿Quien es el jugador mas pesado del los Chicago Bulls?,1
Which volcanos in Japan erupted since 2000?,¿Que volcanos han erupcionado en Japon desde el 2000?,1
Who is the tallest basketball player?,Quien es el jugador de baloncesto mas alto?,1
Who is the host of the BBC Wildlife Specials?,¿Quién es el anfitrión de los especiales de la BBC Wildlife?,0
In what city is the Heineken brewery?,¿En qué ciudad esta la fábrica de cerveza Heineken?,0
When did Operation Overlord commence?,¿Cuándo comenzó la operación Overlord?,1
Who developed Slack?,¿Quien desarrolló Slack?,0
How many seats does the home stadium of FC Porto have?,¿Cuántos asientos tiene el estadio del FC Porto?,1
Who discovered Ceres?,¿Quién descubrió Ceres?,0
What is the largest country in the world?,¿Cuál es el país más grande del mundo?,1
Who is the mayor of Paris?,¿Quién es el alcalde de París?,0
Who is the coach of Ankara's ice hockey team?,¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?,1
How much did the Lego Movie cost?,¿Cuánto cuesta la película de Lego?,0
Where does Piccadilly start?,¿Dónde empieza Piccadilly?,1
How many people live in Poland?,¿Cuántas personas viven en Polonia?,1
Who created Family Guy?,¿Quién creó Family Guy?,1
Who wrote the song Hotel California?,¿Quién escribió la canción Hotel California?,1
What is in a chocolate chip cookie?,¿Qué contiene una galleta de chocolate?,0
Does Neymar play for Real Madrid?,¿juega Neymar en el Real Madrid?,1
Which computer scientist won an oscar?,¿Qué ingeniero informático ganó un Oscar?,0
Who played Gus Fring in Breaking Bad?,¿Quién interpreto a Gus Fring en Breaking Bad?,0
In which ancient empire could you pay with cocoa beans?,En que imperio antiguo pagaría con granos de cacao?,1
Which electronics companies were founded in Beijing?,¿Qué compañías de electrónica fueron fundadas en Pekín?,1
What is the capital of Cameroon?,¿Cuál es la capital de Camerún?,1
What is Batman's real name?,¿Cuál es el verdadero nombre de Batman?,1
What form of government does Russia have?,¿Qué forma de gobierno tiene Rusia?,1
Which Indian company has the most employees?,¿Qué empresa de la India tiene el mayor número de empleados?,0
What color expresses loyalty?,¿Qué color expresa lealtad?,1
Who is the president of Eritrea?,¿Quién es el presidente de Eritrea?,1
Which films did Stanley Kubrick direct?,¿Qué películas dirigio Stanley Kubrick?,1
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,¿Qué subsidiario de Lufthansa vuela en Dortmund y en Berlin?,0
Who was the successor of John F. Kennedy?,¿Quién fué el sucesor de John F. Kennedy?,0
Who composed the soundtrack for Cameron's Titanic?,¿Quién compuso la banda sonora del Titanic de Cameron?,0
In which time zone is Rome?,¿En qué zona horaria esta Roma?,0
Who are the developers of DBpedia?,¿Quiénes son los desarrolladores de DBpedia?,1
Who is the king of the Netherlands?,¿Quién es el rey de los Países Bajos?,1
In which city did Nikos Kazantzakis die?,¿En que ciudad murió Nikos Kazantzakis?,0
Give me a list of all critically endangered birds.,Dame una lista de todas las aves en peligro de extinción.,0
Which companies produce hovercrafts?,¿Qué compañías producen aerodeslizadores?,1
Did Elvis Presley have children?,Tuvo hijos Elvis Presley?,1
In which city was the president of Montenegro born?,¿En que ciudad nació el presidente de Montenegro?,0
Which country was Bill Gates born in?,¿En qué país nació Bill Gates?,1
In which countries do people speak Japanese?,¿En qué países se habla japonés?,0
What was the first Queen album?,¿Cuál fue el primer álbum de Queen?,0
What country is Sitecore from?,¿De qué país es Sitecore?,1
Whom did Lance Bass marry?,¿Con quien se casó Lance Bass?,1
Who was Vincent van Gogh inspired by?,¿Quién inspiro a Vincent van Gogh?,1
Who wrote the Game of Thrones theme?,¿Quién escribió el tema del Juego de Tronos?,0
When did Boris Becker end his active career?,¿Cuándo termino Boris Becker su carrera como actor?,1
To which party does the mayor of Paris belong?,¿A qué partido politico pertenece el alcalde de París?,0
Who was the doctoral supervisor of Albert Einstein?,¿Quien es el supervisor de doctorado de Albert Einstein?,1
In which city does Sylvester Stallone live?,¿En qué ciudad vive Sylvester Stallone?,0
Who is the son of Sonny and Cher?,¿Quién es el hijo de Sonny y Cher?,0
In which city are the headquarters of the United Nations?,¿En qué ciudad se encuentra la sede de las Naciones Unidas?,0
Show me Hemingway's autobiography.,Muéstrame la autobiografía Hemingway.,1
Did Kaurismäki ever win the Grand Prix at Cannes?,¿Gano Kaurismäki alguna vez el Gran Prix de Cannes?,0
Where is Syngman Rhee buried?,¿Dónde está enterrado Syngman Rhee?,1
Show me all books in Asimov's Foundation series.,Muéstrame todos los libros en la serie Fundación de Asimov,0
How high is the Yokohama Marine Tower?,¿Cómo de alta el la torre Yokohama Marine?,0
Does the new Battlestar Galactica series have more episodes than the old one?,¿Tiene la nueve serie de Battlestar-Galactica más episodios que la anterior?,0
What is the biggest stadium in Spain?,¿Cuál es el estadio más grande de España?,1
Which professional surfers were born on the Philippines?,¿Qué surfistas profesionales nacieron en las Filipinas?,1
What are the five boroughs of New York?,¿Cuáles son los cinco condados de Nueva York?,1
When did princess Diana die?,¿Cuándo murió la princesa Diana?,0
Are there any castles in the United States?,,0
Can you find frescoes in Crete?,,0
Do Urdu and Persian have a common root?,,0
Does the Ford Motor Company have a manufacturing plant in Malaysia?,,0
How many years was the Ford Model T manufactured?,,0
Give me all gangsters from the prohibition era.,,0
Give me all Seven Wonders of the Ancient World.,,0
Give me all chemical elements.,,0
How many rivers and lakes are in South Carolina?,,0
How many states are in Mexico?,,0
How many theories did Albert Einstein come up with?,,0
Is horse racing a sport?,,0
Is Pluto really a planet?,,0
Was Sigmund Freud married?,,0
What form of government is found in South Africa?,,0
What is the largest state in the United States?,,0
What is the longest river in the world?,,0
Which building after the Burj Khalifa has the most floors?,,0
What is the wavelength of indigo?,,0
What was the name of the famous battle in 1836 in San Antonio?,,0
What were the names of the three ships used by Columbus?,,0
When did Muhammad die?,,0
When was the De Beers company founded?,,0
When was John Adams born?,,0
Which American presidents were in office during the Vietnam War?,,0
Which city has the oldest running metro?,,0
Which holidays are celebrated around the world?,,0
Who assassinated President McKinley?,,0
Who discovered Pluto?,,0
Who killed Caesar?,,0
Who was buried in the Great Pyramid of Giza?,,0
Who was the first King of England?,,0
What was the final result of the War of the Roses?,,0
Who writes the Farmers' Almanac?,,0
How big is the earth's diameter?,,0
How many people live in Eurasia?,,0
Give me the runtime of Toy Story.,,0
What was the first name of the band Queens of the Stone Age?,,0
Give me the birth place of Frank Sinatra.,,0
Which university did Angela Merkel attend?,,0
List all boardgames by GMT.,Lista todas juegos de mesa por GMT.,0
Who developed Skype?,Quien desarrollado Skype? ,1
Which people were born in Heraklion?,Cual gente fueron nacido en Heraklion?,1
In which U.S. state is Area 51 located?,En cual Nosotros estado es Zona 51 ¿situado? ,0
Where did Abraham Lincoln die?,Dónde hizo Abrahán Lincoln el?,0
Give me all actors starring in movies directed by and starring William Shatner.,Dame todos los actores de películas dirigidas por William Shatner en las qué también haya actúado el mismo.,1
Which movies starring Brad Pitt were directed by Guy Ritchie?,¿Que peliculas protagonizadas por Brad Pitt han sido dirigidas por Guy Ritchie?,1
Give me the Apollo 14 astronauts.,Dame todos los astronautas de Apolo 14?,1
Who wrote the book The pillars of the Earth?,Quien escribió el libro los pilares de el ¿Tierra?,0
Which state of the United States of America has the highest density?,Cual estado de el Unido Estados de America tiene el más alto ¿densidad?,0
Which spaceflights were launched from Baikonur?,¿Qué misiones espaciales partieron desde Baionur?,0
Give me a list of all trumpet players that were bandleaders.,Dame una lista de todos los trompeteros que fueron líderes de un grupo.,0
Which U.S. states are in the same timezone as Utah?,¿Qué estados americanos se encuentran en la misma zona que Utah?,0
Show me all museums in London.,Muéstrame todos los museos en Londres,1
Show me all basketball players that are higher than 2 meters.,Muéstrame todos los jugadores de baloncesto que tienes mas de 2 metros de altura,1
What movies does Jesse Eisenberg play in?,¿En qué películas participa Jesse Eisenberg?,1
What kind of music did Lou Reed play?,¿Qué tipo de música tocaba Lou Reed?,1
Where do the Red Sox play?,¿Dónde juegan los Red Sox?,1
How many movies did Park Chan-wook direct?,¿Cuántas películas dirigió Park Chan-wook?,1
Which movies star both Liz Taylor and Richard Burton?,¿Qué películas protagonizan juntos Liz Taylor y Richard Burton?,1
Which writers studied in Istanbul?,¿Que escritores estudiaron en Estambul?,1
What other books have been written by the author of The Fault in Our Stars?,Qué otro libros tener estado escrito por el autor de los Culpa en Nuestra ¿Estrellas?,0
What is the smallest city by area in Germany?,Qué es el pequeñísimo ciudad por zona en ¿Alemania?,0
What is the largest city in america?,Qué es el más grande ciudad en ¿America?,0
What is the alma mater of the chancellor of Germany Angela Merkel?,Qué es el alma mater de el canciller de Alemania Angela Merkel?,0
Where is the birthplace of Goethe?,Dónde es el lugar de nacimiento de ¿Goethe?,1
What is the highest mountain in Saxony Germany?,Qué es el más alto montaña en Sajonia ¿Alemania?,0
Who is the current federal minister of finance in Germany?,Quien es el corriente federal ministro de financiar en ¿Alemania?,0
In which state Penn State University is located?,En cual estado Penn Estado Universidad es ¿situado?,0
How large is the area of UK?,Cómo grande es el zona de ¿REINO UNIDO?,1
how much is the elevation of Düsseldorf Airport ?,cómo mucho es el elevación de Düsseldorf Aeropuerto ?,0
How much is the population of mexico city ?,Cómo mucho es el población de Méjico ciudad ?,0
when was the founding date of french fifth republic?,cuando estaba el establecimiento fecha de francés quinto ¿república?,0
When was the last episode of the TV series Friends aired?,Cuando estaba el último episodio de el televisión serie Amigos aireado?,0
Who is 8th president of US?,Quien es Octavo presidente de ¿NOS?,0
how much is the total population of  european union?,cómo mucho es el total población de europeo ¿Unión?,0
What is the birth name of Adele?,Qué es el nacimiento nombre de Adele?,1
What is the population of Cairo?,Qué es el población de ¿El Cairo? ,1
What is the last work of Dan Brown?,Qué es el último trabajo de Y ¿Marrón? ,0
Where is Sungkyunkwan University?,Dónde es Sungkyunkwan ¿Universidad? ,0
Who is the author of the interpretation of dreams?,Quien es el autor de el interpretación de ¿Sueños? ,0
When was the death  of  Shakespeare?,Cuando estaba el muerte de Shakespeare? ,1
Where is the origin of Carolina reaper?,Dónde es el origen de Carolina ¿segador? ,0
Which species does an elephant belong?,Cual especies hace un elefante ¿pertenecer a? ,0
With how many countries Iran has borders?,Con cómo muchos países Corrí tiene fronteras? ,0
how big is the total area of North Rhine- Westphalia?,cómo grande es el total zona de norte Rhine- Westfalia? ,0
What is Donald Trump's main business?,Qué es Donald Trump principal ¿negocio? ,1
When will start the final match of the football world cup 2018?,Cuando será comienzo el final partido de el fútbol mundo vaso 2018? ,1
how much is the population  Iraq?,cómo mucho es el población ¿Irak? ,1
how much is the population densty rank of germany?,cómo mucho es el población densidad rango de ¿Alemania? ,0
Who are the writers of the Wall album of Pink Floyd?,Quien son el escritores de el pared álbum de Rosado Floyd?,0
